mid,name,dur_s
/m/07qwf61,Honk,500.129
/m/09f96,Mosquito,496.06
/m/032n05,Whale vocalization,469.24
/m/04gxbd,"Power windows, electric windows",465.727
/m/0316dw,Typing,460.054
/m/07k1x,Tools,458.855
/m/07phxs1,Ding,458.564
/m/07r_k2n,Yip,451.591
/m/04s8yn,Crow,447.847
/m/07qdb04,Quack,447.164
/m/01b9nn,Reverberation,445.173
/m/04rmv,Mouse,443.696
/m/07rdhzs,"Whack, thwack",435.201
/m/07r4k75,Grunt,431.077
/t/dd00121,Boing,413.702
/m/0cdnk,"Roaring cats (lions, tigers)",411.569
/m/07svc2k,Gobble,409.265
/m/07qh7jl,Creak,404.514
/m/015jpf,Dial tone,402.238
/m/07s34ls,Whir,387.926
/m/01y3hg,"Smoke detector, smoke alarm",375.73
/m/01z47d,Busy signal,374.018
/m/05rj2,Shuffling cards,371.449
/m/07rcgpl,Hum,359.734
/m/0dv5r,Camera,353.409
/m/03fwl,Goat,349.103
/m/07qmpdm,Clatter,344.498
/m/07rv4dm,Clang,339.558
/m/073cg4,Cap gun,336.815
/m/03v3yw,Keys jangling,335.006
/m/01lsmm,Scissors,334.878
/m/07bjf,Single-lens reflex camera,332.399
/m/02z32qm,Fusillade,325.326
/t/dd00127,"Inside, public space",321.456
/m/07p6mqd,Slosh,312.976
/m/07pn_8q,Chopping (food),311.977
/m/0h2mp,"Fly, housefly",311.927
/m/07rgkc5,Static,311.629
/m/01hsr_,Sneeze,307.549
/m/07pczhz,Chop,304.189
/m/03k3r,Horse,302.699
/m/01s0vc,Zipper (clothing),297.583
/m/02dgv,Door,294.651
/m/07pqn27,Bouncing,294.459
/m/0174k2,Washing machine,294.214
/m/07rgt08,"Chuckle, chortle",289.34
/m/02c8p,"Telephone dialing, DTMF",287.231
/m/01280g,Wild animals,285.373
/m/02f9f_,Shower,284.345
/m/07plct2,Crushing,284.021
/m/07r67yg,Ding-dong,277.573
/m/07rqsjt,"Whoosh, swoosh, swish",276.184
/m/0gvgw0,Air brake,274.071
/m/030rvx,Buzzer,269.95
/m/07ppn3j,Sniff,263.125
/m/0790c,Sonar,255.192
/m/07r_80w,Hoot,251.965
/m/02417f,"Windscreen wiper, windshield wiper",251.439
/m/07s12q4,Crunch,250.202
/m/078jl,Snake,245.979
/m/07qcx4z,Tearing,245.32
/m/0fqfqc,Drawer open or close,243.65
/m/0k65p,Hands,242.765
/m/0dl83,Arrow,239.861
/m/01xq0k1,"Cattle, bovinae",231.399
/m/07pl1bw,Splinter,211.141
/m/07sq110,Belly laugh,201.08
/m/07ryjzk,"Slap, smack",194.062
/m/02p3nc,Hiccup,186.744
/m/083vt,Wood,186.569
/m/025rv6n,Fowl,178.915
/m/07pdhp0,Biting,174.919
/m/056r_1,Keypress tone,172.038
/m/07rjzl8,Slam,169.387
/m/0chx_,"White noise, pink noise",168.341
/m/07r4wb8,Knock,166.081
/m/07pjjrj,"Smash, crash",163.646
/m/0939n_,Gargling,162.18
/m/01sb50,"Cellphone buzz, vibrating alert",160.946
/m/025_jnm,Finger snapping,157.175
/t/dd00142,Audio logo,156.153
/m/07qw_06,"Wail, moan",156.091
/m/0dl9sf8,Throat clearing,155.924
/m/07cx4,Telephone,148.181
/m/07plz5l,Sigh,141.436
/m/07sk0jz,"Stomp, stamp",141.187
/m/07qyrcz,Plop,140.97
/m/08j51y,"Dental drill, dentist's drill",131.085
/m/07bgp,Sheep,130.926
/m/07qqyl4,Boom,125.034
/m/012xff,Toothbrush,124.427
/m/07szfh9,Cacophony,123.474
/m/05zc1,Pulleys,119.913
/m/07qfgpx,"Jingle, tinkle",116.005
/m/07q0yl5,Snort,113.026
/m/07rrh0c,Thunk,111.626
/m/07q4ntr,Bellow,110.565
/m/07qlwh6,Squish,101.619
/m/07sx8x_,Squawk,93.96
/m/07r10fb,Raindrop,93.487
/m/07s8j8t,Roll,89.317
/m/07sr1lc,Yell,83.545
/m/07pt_g0,Pulse,82.723
/m/07s04w4,Snicker,82.246
/m/07qz6j3,Whimper,80.492
/t/dd00144,Alert,79.252
/m/09d1b1,Tape hiss,79.214
/m/018p4k,Cart,79.098
/m/07pyf11,Flap,73.689
/t/dd00139,Snort (horse),73.481
/m/07rc7d9,Bow-wow,71.335
/m/07qsvvw,"Burst, pop",65.071
/m/07qs1cx,Crack,64.651
/m/07mzm6,Wheeze,63.727
/t/dd00012,Human group actions,57.989
/m/01j2bj,Bathroom sounds,57.068
/t/dd00091,Sound equipment,56.45
/m/0642b4,Cupboard open or close,53.808
/m/07pqmly,"Slurp, drinking straw",50.236
/m/06cyt0,Mechanical bell,45.679
/m/04ctx,Knife,45.488
/m/07qwdck,Ping,45.138
/m/07pws3f,Bang,44.449
/m/0hgq8df,Crockery breaking and smashing,43.245
/m/068hy,"Domestic animals, pets",43.037
/m/02021,Chipmunk,42.366
/g/11b630rrvh,Kettle whistle,40.867
/m/05mxj0q,"Packing tape, duct tape",36.869
/t/dd00143,Unknown sound,35.945
/m/01lynh,Stairs,32.927
/m/01dwxx,"Gull, seagull",30.138
/t/dd00123,"Channel, environment and background",29.985
/m/0zmy2j9,"Velcro, hook and loop fastener",28.766
/m/07s13rg,Sweeping,28.667
/m/040b_t,Refrigerator,19.569
/t/dd00061,Non-motorized land vehicle,19.168
/m/0fjy1,Wildfire,19.085
/t/dd00108,Clunk,18.208
/m/01j423,Yawn,17.963
/m/0ffhf,"Donkey, ass",16.408
/t/dd00118,Fizz,15.434
/m/01z5f,"Canidae, wild dogs, wolves",14.184
/m/0ch8v,"Livestock, farm animals, working animals",12.586
/m/07bm98,Sound reproduction,11.836
/t/dd00125,"Inside, small room",10
/t/dd00128,"Outside, urban or manmade",10
/t/dd00110,Deformable shell,8.811
/t/dd00122,Other sourceless,7.908
/m/09hlz4,Respiratory sounds,7.315
/m/07q8k13,Screech,6.417
/m/079vc8,Wolf-whistling,6.378
/m/0bcdqg,"Ringing tone, ringback tone",5.981
/m/04v5dt,Booing,5.235
/m/01hhp3,Yak,5.185
/m/07pc8l3,Snap,5.175
/m/0d4wf,Kitchen and dining room sounds,4.435
/m/0hg7b,Microphone,3.621
/m/0160x5,Digestive,2.842
/m/098_xr,Error signal,1.879
/m/08dckq,"Carbon monoxide detector, CO detector",1.701
/m/07pt6mm,Grind,1.591
/m/02ll1_,Lock,1.511
/m/0193bn,Sonic boom,1.478
/m/07p78v5,Zing,1.425
/m/07pk7mg,Wobble,1.316
/t/dd00147,"Dong, bong",1.037
/m/07q34h3,Puff,0.918
/m/0269r2s,Chain,0.786
/m/0bpl036,Human locomotion,0.451
/m/01j3j8,Studio recording,0
/m/01jg1z,Heart murmur,0
/m/01jwx6,Vibration,0
/m/028v0c,Silence,0
/m/07hvw1,Unmodified field recording,0
/m/07p_0gm,Throbbing,0
/t/dd00098,Source-ambiguous sounds,0
/t/dd00129,"Outside, rural or natural",0
/t/dd00133,Specific impact sounds,0
